Open,High,Low,Close,Adj Close,Volume,Typical_Price,lrets
207.2100067138672,210.39999389648438,206.9499969482422,208.6699981689453,208.44883728027344,11188400,208.67332967122397,-0.5305308744078197
206.6999969482422,212.77999877929688,206.52000427246094,212.60000610351562,212.3746795654297,17058900,210.63333638509116,1.865844664635219
212.82000732421875,214.5800018310547,211.75,213.05999755859375,212.8341827392578,14912400,213.12999979654947,0.21613101075148577
213.0,216.24000549316406,212.61000061035156,215.22000122070312,214.9918975830078,13475000,214.69000244140625,1.008696171985335
217.5399932861328,218.3800048828125,216.27999877929688,218.3000030517578,218.06863403320312,12642800,217.65333557128906,1.4209511091417326
219.1999969482422,219.8800048828125,217.4199981689453,218.05999755859375,217.82887268066406,12119400,218.45333353678384,-0.11000344533433903
219.60000610351562,221.97000122070312,219.2100067138672,221.91000366210938,221.6748046875,14463400,221.0300038655599,1.7501667688359035
221.61000061035156,222.3800048828125,218.6300048828125,219.05999755859375,218.82781982421875,13288900,220.0233357747396,-1.2926257019884702
220.61000061035156,221.67999267578125,220.13999938964844,221.14999389648438,220.9156036376953,10036500,220.98999532063803,0.9495522964670045
222.57000732421875,222.6300048828125,220.38999938964844,221.77000427246094,221.5349578857422,10015300,221.59666951497397,0.27996513298669257
222.02999877929688,222.2899932861328,220.52999877929688,222.13999938964844,221.90455627441406,15905900,221.65333048502603,0.1666982946158413
222.16000366210938,222.3699951171875,219.1199951171875,221.44000244140625,221.20530700683594,14275800,220.9766642252604,-0.3156127536933617
222.30999755859375,222.75,221.27999877929688,221.32000732421875,221.08543395996094,12212800,221.78333536783853,-0.054203233118954586
220.75,221.49000549316406,219.27000427246094,219.75999450683594,219.52706909179688,11195000,220.17333475748697,-0.7073634332430245
220.8000030517578,221.77999877929688,216.11000061035156,217.94000244140625,217.70901489257812,11905800,218.61000061035156,-0.8316210039887473
213.10000610351562,216.05999755859375,212.5,214.8699951171875,214.6422576904297,13810700,214.4766642252604,-1.4186635385794233
216.13999938964844,218.74000549316406,213.52000427246094,217.7899932861328,217.5591583251953,13413800,216.68333435058594,1.3498093570125214
221.44000244140625,224.1999969482422,218.4499969482422,223.22999572753906,222.99339294433594,33181300,221.95999654134116,2.467134600273635
206.52999877929688,211.42999267578125,204.75,209.52999877929688,209.30792236328125,48775500,208.56999715169272,-6.333568956289604
208.42999267578125,208.69000244140625,201.05999755859375,201.91000366210938,201.6959991455078,31359900,203.88666788736978,-3.7044849675488045
203.44000244140625,205.13999938964844,202.5,204.19000244140625,203.9735870361328,15495600,203.9433339436849,1.1228873191867272
206.6199951171875,210.60000610351562,205.1999969482422,209.8300018310547,209.60760498046875,19628900,208.5433349609375,2.7246742901491317
212.50999450683594,212.72999572753906,208.7100067138672,210.11000061035156,209.88731384277344,12538200,210.51666768391928,0.13335182128955125
210.47000122070312,211.19000244140625,209.33999633789062,210.85000610351562,210.62652587890625,10567500,210.46000162760416,0.3515803133889328
210.3000030517578,212.82000732421875,209.92999267578125,212.3300018310547,212.10494995117188,12242500,211.6933339436849,0.6994667677568067
211.52000427246094,213.8000030517578,210.66000366210938,213.05999755859375,212.8341827392578,11856400,212.5066680908203,0.3432127906949134
210.19000244140625,210.86000061035156,206.50999450683594,207.19000244140625,206.97039794921875,25030800,208.1866658528646,-2.7937546268470115
207.85000610351562,211.22000122070312,207.39999389648438,210.75999450683594,210.53660583496094,13813700,209.79332987467447,1.7083760821678062
209.52000427246094,214.3300018310547,209.17999267578125,213.13999938964844,212.91409301757812,15396600,212.21666463216147,1.1229204651705516
214.0,214.92999267578125,212.64999389648438,214.17999267578125,213.95298767089844,10741700,213.91999308268228,0.48675248469791654
213.5500030517578,217.97999572753906,213.39999389648438,217.8000030517578,217.56915283203125,15609200,216.3933308919271,1.6760475734432845
217.99000549316406,218.32000732421875,216.11000061035156,217.49000549316406,217.25949096679688,12135100,217.30667114257812,-0.14243267932467774
216.52000427246094,218.77000427246094,212.9499969482422,214.5800018310547,214.35256958007812,13109200,215.43333435058594,-1.3470259975553844
213.47999572753906,214.24000549316406,208.8300018310547,210.17999267578125,209.9572296142578,14092300,211.08333333333334,-2.0718366151716516
201.8000030517578,203.64999389648438,198.1699981689453,200.72000122070312,200.50726318359375,23080100,200.84666442871094,-4.605336345029798
202.25,203.5,195.9499969482422,196.77000427246094,196.5614471435547,21433500,198.74000040690103,-1.9875352453065709
197.19000244140625,201.2100067138672,195.49000549316406,197.1999969482422,196.99098205566406,16524500,197.96666971842447,0.21828710063669376
191.82000732421875,195.8800048828125,189.5,189.75,189.54888916015625,21682600,191.71000162760416,-3.8511010417350278
182.6999969482422,192.74000549316406,181.82000732421875,192.47000122070312,192.26600646972656,32568900,189.01000467936197,1.4232887493596635
194.02999877929688,196.57000732421875,188.85000610351562,196.44000244140625,196.23179626464844,24949000,193.95333862304688,2.0416749829961667
196.22000122070312,197.24000549316406,183.97000122070312,185.88999938964844,185.69297790527344,27984100,189.03333536783853,-5.520195596364719
189.1699981689453,191.8300018310547,186.38999938964844,191.75999450683594,191.55674743652344,23062500,189.9933319091797,3.108946384444078
186.77999877929688,188.99000549316406,183.88999938964844,185.1699981689453,184.97373962402344,19333400,186.01666768391928,-3.497024931887349
178.3300018310547,183.77999877929688,176.25999450683594,181.08999633789062,180.89805603027344,24559600,180.3766632080078,-2.2280187130560236
169.60000610351562,175.0,165.19000244140625,169.5,169.32034301757812,29949000,169.89666748046875,-6.6141198210153185
174.6699981689453,178.2899932861328,169.5,178.19000244140625,178.0011444091797,24517800,175.32666524251303,4.999748361995948
